PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=1 ttl=64 time=0.630 ms
64 bytes from 10.0.0.2: icmp_seq=2 ttl=64 time=0.101 ms
64 bytes from 10.0.0.2: icmp_seq=3 ttl=64 time=0.421 ms
64 bytes from 10.0.0.2: icmp_seq=4 ttl=64 time=0.621 ms
64 bytes from 10.0.0.2: icmp_seq=5 ttl=64 time=6.53 ms
64 bytes from 10.0.0.2: icmp_seq=6 ttl=64 time=11.9 ms
64 bytes from 10.0.0.2: icmp_seq=7 ttl=64 time=11.0 ms
64 bytes from 10.0.0.2: icmp_seq=8 ttl=64 time=7.89 ms
64 bytes from 10.0.0.2: icmp_seq=9 ttl=64 time=1.25 ms
64 bytes from 10.0.0.2: icmp_seq=10 ttl=64 time=0.366 ms
64 bytes from 10.0.0.2: icmp_seq=11 ttl=64 time=148 ms
64 bytes from 10.0.0.2: icmp_seq=12 ttl=64 time=249 ms
64 bytes from 10.0.0.2: icmp_seq=13 ttl=64 time=391 ms
64 bytes from 10.0.0.2: icmp_seq=14 ttl=64 time=515 ms
64 bytes from 10.0.0.2: icmp_seq=15 ttl=64 time=525 ms
64 bytes from 10.0.0.2: icmp_seq=16 ttl=64 time=764 ms
64 bytes from 10.0.0.2: icmp_seq=17 ttl=64 time=882 ms
64 bytes from 10.0.0.2: icmp_seq=18 ttl=64 time=997 ms
64 bytes from 10.0.0.2: icmp_seq=19 ttl=64 time=892 ms
64 bytes from 10.0.0.2: icmp_seq=20 ttl=64 time=1011 ms
64 bytes from 10.0.0.2: icmp_seq=21 ttl=64 time=1125 ms
64 bytes from 10.0.0.2: icmp_seq=22 ttl=64 time=1019 ms
64 bytes from 10.0.0.2: icmp_seq=23 ttl=64 time=915 ms
64 bytes from 10.0.0.2: icmp_seq=24 ttl=64 time=804 ms
64 bytes from 10.0.0.2: icmp_seq=25 ttl=64 time=701 ms
64 bytes from 10.0.0.2: icmp_seq=26 ttl=64 time=600 ms
64 bytes from 10.0.0.2: icmp_seq=27 ttl=64 time=498 ms
64 bytes from 10.0.0.2: icmp_seq=28 ttl=64 time=543 ms
64 bytes from 10.0.0.2: icmp_seq=29 ttl=64 time=439 ms
64 bytes from 10.0.0.2: icmp_seq=30 ttl=64 time=627 ms
64 bytes from 10.0.0.2: icmp_seq=31 ttl=64 time=524 ms
64 bytes from 10.0.0.2: icmp_seq=32 ttl=64 time=462 ms
64 bytes from 10.0.0.2: icmp_seq=33 ttl=64 time=459 ms
64 bytes from 10.0.0.2: icmp_seq=34 ttl=64 time=480 ms
64 bytes from 10.0.0.2: icmp_seq=35 ttl=64 time=473 ms
64 bytes from 10.0.0.2: icmp_seq=36 ttl=64 time=443 ms
64 bytes from 10.0.0.2: icmp_seq=37 ttl=64 time=443 ms
64 bytes from 10.0.0.2: icmp_seq=38 ttl=64 time=458 ms
64 bytes from 10.0.0.2: icmp_seq=39 ttl=64 time=455 ms
64 bytes from 10.0.0.2: icmp_seq=40 ttl=64 time=452 ms
64 bytes from 10.0.0.2: icmp_seq=41 ttl=64 time=449 ms
64 bytes from 10.0.0.2: icmp_seq=42 ttl=64 time=444 ms
64 bytes from 10.0.0.2: icmp_seq=43 ttl=64 time=440 ms
64 bytes from 10.0.0.2: icmp_seq=44 ttl=64 time=486 ms
64 bytes from 10.0.0.2: icmp_seq=45 ttl=64 time=458 ms
64 bytes from 10.0.0.2: icmp_seq=46 ttl=64 time=478 ms
64 bytes from 10.0.0.2: icmp_seq=47 ttl=64 time=471 ms
64 bytes from 10.0.0.2: icmp_seq=48 ttl=64 time=467 ms
64 bytes from 10.0.0.2: icmp_seq=49 ttl=64 time=443 ms
64 bytes from 10.0.0.2: icmp_seq=50 ttl=64 time=462 ms
64 bytes from 10.0.0.2: icmp_seq=51 ttl=64 time=459 ms
64 bytes from 10.0.0.2: icmp_seq=52 ttl=64 time=426 ms
64 bytes from 10.0.0.2: icmp_seq=53 ttl=64 time=448 ms
64 bytes from 10.0.0.2: icmp_seq=54 ttl=64 time=444 ms
64 bytes from 10.0.0.2: icmp_seq=55 ttl=64 time=437 ms
64 bytes from 10.0.0.2: icmp_seq=56 ttl=64 time=459 ms
64 bytes from 10.0.0.2: icmp_seq=57 ttl=64 time=487 ms
64 bytes from 10.0.0.2: icmp_seq=58 ttl=64 time=407 ms
64 bytes from 10.0.0.2: icmp_seq=59 ttl=64 time=307 ms
64 bytes from 10.0.0.2: icmp_seq=60 ttl=64 time=207 ms
64 bytes from 10.0.0.2: icmp_seq=61 ttl=64 time=134 ms
64 bytes from 10.0.0.2: icmp_seq=62 ttl=64 time=70.6 ms
64 bytes from 10.0.0.2: icmp_seq=63 ttl=64 time=52.6 ms
64 bytes from 10.0.0.2: icmp_seq=64 ttl=64 time=68.0 ms
64 bytes from 10.0.0.2: icmp_seq=65 ttl=64 time=65.1 ms
64 bytes from 10.0.0.2: icmp_seq=66 ttl=64 time=61.3 ms
64 bytes from 10.0.0.2: icmp_seq=67 ttl=64 time=69.6 ms
64 bytes from 10.0.0.2: icmp_seq=68 ttl=64 time=1.83 ms
64 bytes from 10.0.0.2: icmp_seq=69 ttl=64 time=131 ms
64 bytes from 10.0.0.2: icmp_seq=70 ttl=64 time=254 ms
64 bytes from 10.0.0.2: icmp_seq=71 ttl=64 time=382 ms
64 bytes from 10.0.0.2: icmp_seq=72 ttl=64 time=503 ms
64 bytes from 10.0.0.2: icmp_seq=73 ttl=64 time=628 ms
64 bytes from 10.0.0.2: icmp_seq=74 ttl=64 time=756 ms
64 bytes from 10.0.0.2: icmp_seq=75 ttl=64 time=870 ms
64 bytes from 10.0.0.2: icmp_seq=76 ttl=64 time=983 ms
64 bytes from 10.0.0.2: icmp_seq=77 ttl=64 time=1043 ms
64 bytes from 10.0.0.2: icmp_seq=78 ttl=64 time=996 ms
64 bytes from 10.0.0.2: icmp_seq=79 ttl=64 time=1112 ms
64 bytes from 10.0.0.2: icmp_seq=80 ttl=64 time=1140 ms
64 bytes from 10.0.0.2: icmp_seq=81 ttl=64 time=1033 ms
64 bytes from 10.0.0.2: icmp_seq=82 ttl=64 time=933 ms
64 bytes from 10.0.0.2: icmp_seq=83 ttl=64 time=830 ms
64 bytes from 10.0.0.2: icmp_seq=84 ttl=64 time=730 ms
64 bytes from 10.0.0.2: icmp_seq=85 ttl=64 time=627 ms
64 bytes from 10.0.0.2: icmp_seq=86 ttl=64 time=587 ms
64 bytes from 10.0.0.2: icmp_seq=87 ttl=64 time=484 ms
64 bytes from 10.0.0.2: icmp_seq=88 ttl=64 time=632 ms
64 bytes from 10.0.0.2: icmp_seq=89 ttl=64 time=532 ms
64 bytes from 10.0.0.2: icmp_seq=90 ttl=64 time=544 ms
64 bytes from 10.0.0.2: icmp_seq=91 ttl=64 time=443 ms
64 bytes from 10.0.0.2: icmp_seq=92 ttl=64 time=479 ms
64 bytes from 10.0.0.2: icmp_seq=93 ttl=64 time=478 ms
64 bytes from 10.0.0.2: icmp_seq=94 ttl=64 time=478 ms
64 bytes from 10.0.0.2: icmp_seq=95 ttl=64 time=494 ms
64 bytes from 10.0.0.2: icmp_seq=96 ttl=64 time=513 ms
64 bytes from 10.0.0.2: icmp_seq=97 ttl=64 time=492 ms
64 bytes from 10.0.0.2: icmp_seq=98 ttl=64 time=505 ms
64 bytes from 10.0.0.2: icmp_seq=99 ttl=64 time=460 ms
64 bytes from 10.0.0.2: icmp_seq=100 ttl=64 time=477 ms
64 bytes from 10.0.0.2: icmp_seq=101 ttl=64 time=429 ms
64 bytes from 10.0.0.2: icmp_seq=102 ttl=64 time=505 ms
64 bytes from 10.0.0.2: icmp_seq=103 ttl=64 time=519 ms
64 bytes from 10.0.0.2: icmp_seq=104 ttl=64 time=484 ms
64 bytes from 10.0.0.2: icmp_seq=105 ttl=64 time=497 ms
64 bytes from 10.0.0.2: icmp_seq=106 ttl=64 time=486 ms
64 bytes from 10.0.0.2: icmp_seq=107 ttl=64 time=485 ms
64 bytes from 10.0.0.2: icmp_seq=108 ttl=64 time=481 ms
64 bytes from 10.0.0.2: icmp_seq=109 ttl=64 time=494 ms
64 bytes from 10.0.0.2: icmp_seq=110 ttl=64 time=498 ms
64 bytes from 10.0.0.2: icmp_seq=111 ttl=64 time=506 ms
64 bytes from 10.0.0.2: icmp_seq=112 ttl=64 time=500 ms
64 bytes from 10.0.0.2: icmp_seq=113 ttl=64 time=493 ms
64 bytes from 10.0.0.2: icmp_seq=114 ttl=64 time=497 ms
64 bytes from 10.0.0.2: icmp_seq=115 ttl=64 time=502 ms
64 bytes from 10.0.0.2: icmp_seq=116 ttl=64 time=509 ms
64 bytes from 10.0.0.2: icmp_seq=117 ttl=64 time=503 ms
64 bytes from 10.0.0.2: icmp_seq=118 ttl=64 time=459 ms
64 bytes from 10.0.0.2: icmp_seq=119 ttl=64 time=354 ms
64 bytes from 10.0.0.2: icmp_seq=120 ttl=64 time=250 ms
64 bytes from 10.0.0.2: icmp_seq=121 ttl=64 time=158 ms
64 bytes from 10.0.0.2: icmp_seq=122 ttl=64 time=107 ms
64 bytes from 10.0.0.2: icmp_seq=123 ttl=64 time=135 ms
64 bytes from 10.0.0.2: icmp_seq=124 ttl=64 time=150 ms
64 bytes from 10.0.0.2: icmp_seq=125 ttl=64 time=99.3 ms
64 bytes from 10.0.0.2: icmp_seq=126 ttl=64 time=0.432 ms
64 bytes from 10.0.0.2: icmp_seq=127 ttl=64 time=172 ms
64 bytes from 10.0.0.2: icmp_seq=128 ttl=64 time=235 ms
64 bytes from 10.0.0.2: icmp_seq=129 ttl=64 time=229 ms
64 bytes from 10.0.0.2: icmp_seq=130 ttl=64 time=367 ms
64 bytes from 10.0.0.2: icmp_seq=131 ttl=64 time=607 ms
64 bytes from 10.0.0.2: icmp_seq=132 ttl=64 time=733 ms
64 bytes from 10.0.0.2: icmp_seq=133 ttl=64 time=857 ms
64 bytes from 10.0.0.2: icmp_seq=134 ttl=64 time=984 ms
64 bytes from 10.0.0.2: icmp_seq=135 ttl=64 time=1105 ms
64 bytes from 10.0.0.2: icmp_seq=136 ttl=64 time=1003 ms
64 bytes from 10.0.0.2: icmp_seq=137 ttl=64 time=897 ms
64 bytes from 10.0.0.2: icmp_seq=138 ttl=64 time=793 ms
64 bytes from 10.0.0.2: icmp_seq=139 ttl=64 time=687 ms
64 bytes from 10.0.0.2: icmp_seq=140 ttl=64 time=587 ms
64 bytes from 10.0.0.2: icmp_seq=141 ttl=64 time=480 ms
64 bytes from 10.0.0.2: icmp_seq=142 ttl=64 time=391 ms
64 bytes from 10.0.0.2: icmp_seq=143 ttl=64 time=372 ms
